filename,time_rel(sec)
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,7210.566037735849
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,9013.584905660377
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,15613.584905660377
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,18012.22641509434
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,22813.584905660377
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,25210.716981132075
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,45013.73584905661
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,49810.56603773585
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,50415.09433962264
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,51015.09433962264
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,56413.58490566038
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,57007.54716981132
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,63012.07547169811
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,64206.03773584906
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,64813.58490566038
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,65410.56603773585
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,66613.58490566038
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,67213.58490566038
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,67813.58490566038
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,75613.58490566038
